Country Name,Code,income,education,GDP growth,GDP,gini,gni,educational expenditure,inflation,elderly,population density,undernourishment,unemployment
,,Adjusted net national income per capita (constant 2015 US$),"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",Gini index,"GNI, PPP (current international $)","Government expenditure on education, total (% of government expenditure)","Inflation, consumer prices (annual %)",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),"Unemployment, total (% of total labor force) (national estimate)"
"Congo, Dem. Rep.",COD,455.3619725,..,1.110159543,1144.287321,..,93915489290,..,..,3.016939617,38.28348206,37.7,..
"Congo, Rep.",COG,546.780565,..,-2.614952336,3987.163642,..,16854349031,17.93088913,2.206073058,2.721415896,15.7555022,29.9,..
Costa Rica,CRI,11291.56499,..,1.441173774,22632.44207,48.2,1.07E+11,24.55101013,2.096046353,9.880435323,98.85548374,3.4,10.81000042
Cote d'Ivoire,CIV,2178.230963,..,3.557682501,5432.547727,..,1.36E+11,17.37957954,-1.10686344,2.873119343,80.86966667,4.7,2.400000095
Croatia,HRV,11921.64736,..,4.056979224,30543.93375,28.9,1.24E+11,..,0.771820346,20.86013523,72.64050104,2.5,6.619999886
Cuba,CUB,..,..,-0.123773042,..,..,..,..,..,15.56495916,109.1857803,2.5,..
Curacao,CUW,..,..,-2.208758183,24657.76263,..,4053622380,..,2.622207834,17.16883689,354.5968468,..,..
Cyprus,CYP,23584.375,..,3.864533601,42338.87891,31.2,35581766435,..,0.250370997,14.04826565,129.7158009,2.5,7.070000172
Czechia,CZE,14840.1315,..,2.624557435,42847.00474,25.3,4.30E+11,..,2.847875959,19.80074484,138.2268103,2.5,2.00999999
Denmark,DNK,49191.39884,..,1.749614095,58700.97467,27.7,3.51E+11,..,0.758131573,19.96525913,145.36055,2.5,5.019999981
Djibouti,DJI,2887.956231,..,3.958631359,5482.012136,..,5174904158,..,3.319253727,4.609063643,41.99987058,13.1,..
Dominica,DMA,..,..,5.235083537,12850.2005,..,908466096.8,8.298299789,1.504623539,..,95.744,6.5,..
Dominican Republic,DOM,7360.685505,..,3.958404175,19190.00888,41.9,1.97E+11,22.34151077,1.81060377,7.298389658,222.2926309,7,6.179999828
Ecuador,ECU,4554.158981,..,-1.653249634,11850.49495,45.7,2.00E+11,11.60818005,0.266012515,7.372199367,69.95352311,13.7,3.809999943
"Egypt, Arab Rep.",EGY,3338.181175,..,3.492046874,12259.71657,..,1.19E+12,11.64000034,9.152799593,5.276332976,100.8469295,5,7.849999905
El Salvador,SLV,3247.788511,..,1.862065946,9146.512043,38.8,56092433578,12.44863987,0.075324135,8.469582569,311.4647683,8.3,4.170000076
Equatorial Guinea,GNQ,3223.518362,..,-8.759054635,19385.41369,..,19267852910,..,1.238698602,2.424508808,48.34160428,..,..
Eritrea,ERI,..,..,..,..,..,..,..,..,..,28.88256715,..,..
Estonia,EST,17000.25188,..,3.713646751,37851.30077,30.8,49285832001,..,2.277259312,19.99180778,31.03754386,2.5,4.510000229
Eswatini,SWZ,2941.504015,..,1.541889247,9018.115773,..,9371500969,18.51000023,2.598016203,4.014789266,66.7519186,11.1,..
Ethiopia,ETH,846.0889295,..,5.604369736,2315.158138,..,2.58E+11,..,15.80963217,3.516690455,99.31031464,21.9,..
Faroe Islands,FRO,..,..,..,..,..,..,15.41215134,..,..,34.86891117,..,..
Fiji,FJI,..,..,-1.168767783,14261.83161,30.7,11651589733,16.83370018,1.773101825,5.624229594,48.71127531,4.9,..
Finland,FIN,37569.06016,37.57275009,1.109278713,50321.53969,27.7,2.79E+11,..,1.02409393,22.14064462,18.16736091,2.5,6.690000057
France,FRA,32540.56643,32.30461121,1.620358453,49072.36383,..,3.37E+12,..,1.108254923,20.39137028,122.8163022,2.5,8.409999847
French Polynesia,PYF,..,..,2.405457311,..,..,..,..,..,8.68067615,80.46240277,4.1,..
Gabon,GAB,5906.039477,..,1.371169209,15576.64316,..,31107442947,14.15939045,2.464567562,3.544727257,8.431629604,16.6,..
"Gambia, The",GMB,553.1417357,..,3.16329441,2320.305837,..,5357264419,..,7.115676256,2.560925431,231.9857708,18,..
Georgia,GEO,4011.793978,57.00445175,5.162618817,15621.87366,35.9,55529116310,..,4.852898217,15.06105563,65.08556982,7.8,11.56999969
Germany,DEU,36700.34157,..,0.827864779,55652.88749,..,4.77E+12,..,1.445667015,21.56299232,237.8229543,2.5,3.140000105
Ghana,GHA,1613.567214,..,4.229181264,5773.860982,..,1.68E+11,..,7.143640033,3.097322178,133.6813659,5.2,..
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,3370.6,..,..
Greece,GRC,15848.28672,..,1.910891048,30356.2664,33.1,3.23E+11,..,0.253007522,21.94147013,83.17751746,2.5,17.30999947
Greenland,GRL,..,14.40657043,1.903879999,..,..,..,17.43354416,..,..,0.136983798,..,..
Grenada,GRD,..,..,0.178625591,17579.4611,..,1774835465,..,0.598149765,9.677419355,329.4176471,..,..
Guam,GUM,..,..,1.604283733,..,..,..,..,..,10.18984542,309.8055556,..,..
Guatemala,GTM,3693.800203,4.505449772,2.258711898,9018.51752,..,1.47E+11,23.75538063,3.69998398,4.928984331,154.946118,16.3,2.190000057
Guinea,GIN,777.6655706,..,2.664940943,2674.633599,..,32480414771,12.40536022,9.470779373,2.94190559,51.97479245,..,5.019999981
Guinea-Bissau,GNB,528.2005632,..,1.964201464,2021.136428,..,3964364606,..,0.246600268,2.863260455,68.31141536,..,..
Guyana,GUY,..,..,4.845497408,13634.30959,..,10576407655,..,2.087230892,6.711584305,3.976504953,5,13.52000046
Haiti,HTI,1349.444747,..,-2.90574712,3203.037737,..,36197223305,..,18.70378257,5.063669546,408.6748549,46.4,..
Honduras,HND,2113.365571,..,0.98266168,5978.274828,48.2,53649117166,20.11774063,4.365871598,4.828189524,87.10443293,13.3,5.550000191
"Hong Kong SAR, China",HKG,..,31.06777954,-2.402462716,62103.41335,..,4.90E+11,20.31401062,2.883208538,17.49825246,7150.380952,2.5,2.930000067
Hungary,HUN,12081.72801,..,4.601390464,33514.94179,30,3.19E+11,..,3.338586354,19.69445761,107.0692636,2.5,3.420000076
Iceland,ISL,47909.92751,46.31018066,0.206935275,58290.09683,..,20828277679,..,3.013971792,15.19212107,3.575949618,2.5,3.50999999
India,IND,1734.246365,..,2.692089827,6971.687276,35.7,9.43E+12,16.72864914,3.729505735,6.377924156,459.5796959,14.6,5.269999981
Indonesia,IDN,3089.216015,..,3.87255979,12310.62737,37.6,3.23E+12,17.34800148,3.03058665,6.050302682,144.1399885,6.2,3.589999914
"Iran, Islamic Rep.",IRN,..,..,-2.665383742,15532.51636,40.9,1.29E+12,21.24616051,39.90734557,6.358522055,51.10255347,4.9,10.73999977
Iraq,IRQ,4267.411124,..,3.161969237,11349.40215,..,4.44E+11,..,-0.19896538,3.398533134,90.54884504,17.4,..
